feature,gain
latitude,94.47542572021484
Iron,91.8697509765625
plant_OTU1,86.58235168457031
MCMT,77.43704223632812
leaf_Otu0000073,75.46449279785156
WHC,73.9172592163086
plant_OTU20,69.44450378417969
leaf_Otu0000025,66.7247543334961
leaf_Otu0000030,52.21086883544922
plant_OTU198,48.8584098815918
leaf_Otu0000015,48.59360122680664
plant_OTU67,45.11815643310547
root_Otu0000050,41.46436309814453
Phosphore,38.65304946899414
leaf_Otu0000004,29.831796646118164
plant_OTU87,25.46168327331543
Magnesium,24.213573455810547
leaf_Otu0000068,20.49160385131836
root_Otu0000003,13.996895790100098
leaf_Otu0000002,13.953093528747559
PPT_wt,9.210123062133789
leaf_Otu0000036,8.494255065917969
leaf_Otu0000001,8.395472526550293
leaf_Otu0000093,6.548227310180664
Sodium,6.056648254394531
root_Otu0000011,5.958978652954102
MAT,5.533311367034912
OC,4.149293422698975
Elevation,3.709064483642578
leaf_Otu0000077,3.450596809387207
root_Otu0000002,3.4050941467285156
longitude,3.223973512649536
leaf_Otu0000078,2.976531505584717
root_Otu0000238,2.742703437805176
Manganese,2.689049482345581
root_Otu0000258,2.3316705226898193
plant_OTU71,2.2292985916137695
pH,2.160170316696167
plant_Shannon,2.086130142211914
leaf_Otu0000034,1.8349380493164062
plant_OTU192,1.7880668640136719
root_Otu0000019,1.7719409465789795
plant_OTU27,1.6546659469604492
root_Otu0000004,1.5843429565429688
leaf_Otu0000018,1.4809818267822266
plant_OTU46,1.433276653289795
leaf_Otu0000084,1.259974479675293
leaf_Otu0000013,1.2135778665542603
