feature,gain
leaf_Otu0000036,6.109577178955078
leaf_Otu0000001,5.5549211502075195
Manganese,5.296236515045166
longitude,4.775843620300293
plant_OTU223,3.5698037147521973
plant_OTU154,3.5618391036987305
leaf_Otu0000033,3.5615310668945312
pH,3.3698887825012207
MCMT,3.3648176193237305
Sodium,3.2909016609191895
WHC,3.2044031620025635
latitude,3.104430675506592
PPT_wt,2.9853127002716064
plant_OTU67,2.977827310562134
plant_OTU216,2.8855741024017334
plant_OTU204,2.8677804470062256
plant_Shannon,2.8256711959838867
Iron,2.6798269748687744
Calcium,2.5654242038726807
leaf_Otu0000101,2.563685417175293
plant_OTU203,2.4014835357666016
plant_OTU16,2.2863502502441406
leaf_Otu0000094,2.27852725982666
leaf_Otu0000179,2.20939564704895
Potassium,2.1372127532958984
plant_OTU71,2.0810317993164062
plant_OTU113,2.078997850418091
Magnesium,2.056960105895996
leaf_Otu0000077,2.0501701831817627
root_Otu0000258,1.8956644535064697
Phosphore,1.8596556186676025
MAT,1.7216932773590088
Aluminium,1.5698176622390747
leaf_Otu0000013,1.5347814559936523
leaf_Otu0000008,1.5272252559661865
root_Otu0000007,1.4720137119293213
root_Otu0000050,1.4173097610473633
leaf_Otu0000015,1.3532249927520752
plant_OTU18,1.330094337463379
leaf_Otu0000073,1.3255947828292847
plant_richness,1.3093620538711548
root_Otu0000020,1.2522932291030884
leaf_Otu0000078,1.2502717971801758
leaf_Otu0000004,1.249272108078003
Nitrogen,1.2094898223876953
plant_OTU3,1.194789171218872
leaf_Otu0000016,1.1388661861419678
root_Otu0000049,1.0884768962860107
