feature,gain
leaf_Otu0000013,9.40381908416748
root_Otu0000049,9.24392032623291
plant_OTU88,7.984455585479736
WHC,5.594122409820557
leaf_Otu0000035,4.884520053863525
PPT_sp,4.612873077392578
Potassium,4.423245429992676
Elevation,4.317763805389404
root_Otu0000003,3.8209738731384277
plant_OTU147,3.6385385990142822
OC,3.6080386638641357
plant_Shannon,3.4658360481262207
leaf_Otu0000015,3.3204898834228516
Iron,3.233717441558838
plant_OTU65,3.046051025390625
Phosphore,2.945284605026245
PPT_at,2.934504985809326
plant_richness,2.7580602169036865
leaf_Otu0000022,2.7570018768310547
root_Otu0000146,2.523428440093994
root_Otu0000989,2.4887452125549316
PPT_sm,2.4345855712890625
leaf_Otu0000034,2.2784461975097656
latitude,2.0462698936462402
root_Otu0000075,1.8315951824188232
leaf_Otu0000003,1.7272827625274658
leaf_Otu0000093,1.624808430671692
leaf_Otu0000018,1.3256018161773682
plant_OTU71,1.3015742301940918
plant_OTU198,1.1725503206253052
