feature,gain
plant_OTU192,9.70969009399414
Sodium,8.689702033996582
plant_OTU67,8.646288871765137
leaf_Otu0000003,5.758427619934082
leaf_Otu0000078,5.743774890899658
longitude,5.257636070251465
PPT_wt,4.746431350708008
plant_OTU100,4.562056064605713
MCMT,4.364046096801758
Phosphore,4.2808003425598145
plant_OTU27,3.6218881607055664
Magnesium,3.4466919898986816
leaf_Otu0000093,3.2893800735473633
plant_OTU7,3.065007209777832
plant_richness,2.909945249557495
leaf_Otu0000068,2.77219295501709
root_Otu0000156,2.5758442878723145
plant_OTU198,2.5433831214904785
leaf_Otu0000035,2.507143259048462
root_Otu0000258,2.149449348449707
Aluminium,2.1234242916107178
leaf_Otu0000005,2.105543851852417
root_Otu0000007,2.0787036418914795
CN,2.061962842941284
root_Otu0000003,1.9163293838500977
plant_OTU154,1.885619044303894
leaf_Otu0000246,1.870255470275879
plant_OTU113,1.8071746826171875
SOM,1.7145929336547852
leaf_Otu0000025,1.6666712760925293
plant_OTU1,1.3930689096450806
plant_OTU3,1.3429242372512817
plant_OTU71,1.2379385232925415
leaf_Otu0000022,1.177459478378296
root_Otu0000041,1.1450550556182861
