feature,gain
leaf_Otu0000012,18.286848068237305
root_Otu0000163,6.209484100341797
root_Otu0000199,5.480081081390381
Iron,2.2857887744903564
leaf_Otu0000109,1.7800511121749878
pH,1.7167521715164185
Manganese,1.6358534097671509
plant_OTU72,1.5767402648925781
Elevation,1.4685144424438477
root_Otu0000005,1.3274112939834595
leaf_Otu0000038,1.2586050033569336
root_Otu0000070,1.2506980895996094
MCMT,1.1864597797393799
Aluminium,1.1484246253967285
plant_OTU46,1.1424336433410645
CN,1.0652570724487305
plant_OTU192,1.0395985841751099
plant_OTU136,1.0194621086120605
plant_OTU198,1.0143195390701294
