feature,gain
PPT_sp,4.054434776306152
leaf_Otu0000025,4.0201263427734375
leaf_Otu0000003,3.6082725524902344
plant_OTU149,2.7231287956237793
Calcium,2.624903917312622
leaf_Otu0000002,2.474853277206421
plant_OTU154,2.424537420272827
PPT_at,2.3865625858306885
WHC,2.2757303714752197
latitude,2.258416175842285
longitude,2.1362438201904297
PPT_sm,2.0925214290618896
leaf_Otu0000034,2.014589786529541
OC,1.8922474384307861
leaf_Otu0000035,1.8891594409942627
leaf_Otu0000022,1.8465102910995483
root_Otu0000002,1.7988427877426147
CN,1.7535475492477417
leaf_Otu0000001,1.6316758394241333
plant_OTU179,1.5957190990447998
Iron,1.5505423545837402
plant_OTU192,1.3846302032470703
leaf_Otu0000004,1.317298173904419
root_Otu0000046,1.2926641702651978
plant_OTU198,1.267688512802124
root_Otu0000007,1.2522356510162354
plant_OTU46,1.22158682346344
Magnesium,1.0640485286712646
leaf_Otu0000010,1.041992425918579
Phosphore,1.0280208587646484
Potassium,1.0165116786956787
root_Otu0000019,1.00877046585083
