feature,gain
root_Otu0000114,5.756762981414795
root_Otu0000021,4.073949337005615
leaf_Otu0000003,2.8050525188446045
Sodium,2.473207950592041
pH,2.356578826904297
plant_OTU7,2.0713844299316406
Nitrogen,1.9358705282211304
Potassium,1.6298067569732666
leaf_Otu0000246,1.5241872072219849
leaf_Otu0000013,1.504806637763977
Calcium,1.440622091293335
leaf_Otu0000002,1.3788384199142456
leaf_Otu0000120,1.353045105934143
latitude,1.1289863586425781
leaf_Otu0000004,1.1125860214233398
Aluminium,1.1022218465805054
leaf_Otu0000035,1.0443644523620605
leaf_Otu0000031,1.012926697731018
