feature,gain
root_Otu0000001,7.0251359939575195
plant_OTU67,6.797068119049072
plant_OTU132,4.981538772583008
Sodium,4.242281913757324
root_Otu0000102,3.9452695846557617
plant_OTU8,3.7473225593566895
PPT_at,3.5812771320343018
longitude,3.4717698097229004
plant_OTU203,3.31301212310791
PPT_wt,3.311842679977417
plant_OTU159,3.245649814605713
plant_OTU71,3.225759744644165
leaf_Otu0000003,3.170544147491455
OC,3.068248987197876
Phosphore,2.873133897781372
leaf_Otu0000012,2.843759775161743
leaf_Otu0000002,2.7987194061279297
Calcium,2.745042324066162
root_Otu0000017,2.700462818145752
plant_OTU4,2.6907958984375
plant_OTU113,2.6515517234802246
plant_OTU109,2.4576001167297363
SOM,2.4326677322387695
PPT_sm,2.412247896194458
leaf_Otu0000094,2.411858081817627
MAT,2.4118056297302246
WHC,2.395181179046631
plant_OTU65,2.3654518127441406
Nitrogen,2.166185140609741
root_Otu0000064,2.127317428588867
plant_OTU15,2.0596373081207275
latitude,1.9904158115386963
leaf_Otu0000093,1.9858179092407227
leaf_Otu0000029,1.8758467435836792
leaf_Otu0000077,1.7597335577011108
Elevation,1.7290016412734985
MCMT,1.632869839668274
pH,1.5704971551895142
leaf_Otu0000028,1.5620783567428589
leaf_Otu0000058,1.4697675704956055
leaf_Otu0000025,1.452722191810608
plant_OTU204,1.4186652898788452
leaf_Otu0000067,1.4021629095077515
PPT_sp,1.3143177032470703
CN,1.2258328199386597
root_Otu0000146,1.2251265048980713
leaf_Otu0000365,1.0425461530685425
