feature,gain
plant_OTU132,15.376279830932617
Manganese,14.049293518066406
PPT_sp,9.725137710571289
plant_OTU149,8.506321907043457
plant_OTU71,8.03441333770752
latitude,7.1749587059021
Elevation,6.707401275634766
Phosphore,6.097153663635254
plant_OTU16,5.7122673988342285
pH,5.5334296226501465
CN,3.8317179679870605
leaf_Otu0000120,3.7705745697021484
Nitrogen,3.7222204208374023
plant_OTU100,3.2420668601989746
plant_OTU87,3.1285147666931152
leaf_Otu0000157,2.755237102508545
leaf_Otu0000006,2.6017467975616455
root_Otu0000021,2.408120632171631
leaf_Otu0000017,2.164710283279419
plant_OTU147,2.086970567703247
leaf_Otu0000004,1.767134666442871
