feature,gain
leaf_Otu0000013,31.389881134033203
Iron,29.348873138427734
plant_OTU198,23.241600036621094
Magnesium,18.843257904052734
leaf_Otu0000067,17.619224548339844
plant_OTU216,16.3082218170166
plant_OTU154,12.772173881530762
leaf_Otu0000031,10.208319664001465
CN,8.119864463806152
pH,8.01257610321045
root_Otu0000003,7.775025367736816
leaf_Otu0000038,6.953042984008789
leaf_Otu0000034,5.8941450119018555
leaf_Otu0000014,5.323090553283691
latitude,5.066030025482178
leaf_Otu0000016,4.401026248931885
leaf_Otu0000001,4.386657238006592
leaf_Otu0000015,4.087372779846191
leaf_Otu0000003,3.9810664653778076
plant_OTU65,3.8029119968414307
root_Otu0000007,3.7482237815856934
plant_OTU67,3.554309129714966
longitude,3.1664681434631348
root_Otu0000238,2.9196016788482666
root_Otu0000041,2.89451003074646
PPT_wt,2.8551063537597656
Sodium,2.804572582244873
plant_OTU109,2.561404228210449
Elevation,2.4858601093292236
root_Otu0000011,1.831462025642395
PPT_sp,1.7954349517822266
Potassium,1.7859785556793213
root_Otu0000026,1.756227970123291
plant_OTU10,1.678302526473999
plant_OTU78,1.5268408060073853
plant_OTU46,1.3691250085830688
Nitrogen,1.3154640197753906
root_Otu0000019,1.2456557750701904
plant_OTU71,1.2366719245910645
leaf_Otu0000035,1.0681513547897339
leaf_Otu0000077,1.0182538032531738
PPT_at,1.0155744552612305
