feature,gain
root_Otu0000009,206.41275024414062
root_Otu0000005,88.57106018066406
root_Otu0000016,59.53438949584961
leaf_Otu0000005,45.209068298339844
CN,40.371429443359375
PPT_sm,35.575164794921875
Phosphore,22.2166748046875
Calcium,17.001008987426758
root_Otu0000017,16.259193420410156
Elevation,13.902359008789062
PPT_sp,13.6578369140625
leaf_Otu0000028,8.74670124053955
longitude,7.824680328369141
leaf_Otu0000009,3.7136270999908447
MAT,3.529010772705078
pH,3.2063827514648438
PPT_at,3.076568603515625
latitude,1.9007692337036133
PPT_wt,1.8592637777328491
plant_richness,1.0965261459350586
