feature,gain
plant_richness,18.37087631225586
leaf_Otu0000073,18.257610321044922
plant_Shannon,13.675487518310547
leaf_Otu0000037,13.044708251953125
leaf_Otu0000018,12.206574440002441
plant_OTU202,11.1605863571167
PPT_sm,11.13688850402832
leaf_Otu0000004,11.088913917541504
leaf_Otu0000067,9.889408111572266
leaf_Otu0000025,9.630264282226562
Nitrogen,9.430570602416992
root_Otu0000024,6.574198246002197
Iron,6.098918914794922
Manganese,5.427751541137695
leaf_Otu0000033,5.371057987213135
root_Otu0000049,5.218421936035156
MCMT,4.847006797790527
leaf_Otu0000029,4.76906156539917
PPT_at,4.467790603637695
CN,3.908383846282959
leaf_Otu0000034,3.5407023429870605
leaf_Otu0000001,3.276749849319458
PPT_wt,3.044487476348877
Aluminium,2.7478115558624268
root_Otu0000070,2.620067596435547
Sodium,2.487105131149292
root_Otu0000001,2.48325514793396
plant_OTU71,2.296151638031006
leaf_Otu0000032,2.207703113555908
plant_OTU16,2.145705461502075
Potassium,2.085407257080078
Magnesium,2.0066890716552734
root_Otu0000075,1.789665699005127
plant_OTU179,1.745839238166809
Elevation,1.5843150615692139
plant_OTU67,1.408868670463562
leaf_Otu0000093,1.4001922607421875
Calcium,1.3263837099075317
leaf_Otu0000014,1.1041743755340576
