feature,gain
plant_OTU1,23.554466247558594
root_Otu0000049,21.480953216552734
root_Otu0000238,19.415254592895508
Sodium,17.606847763061523
root_Otu0000006,14.269874572753906
root_Otu0000005,13.578783988952637
root_Otu0000017,13.31277847290039
leaf_Otu0000018,12.917643547058105
root_Otu0000009,10.593680381774902
leaf_Otu0000120,7.027121067047119
Magnesium,6.432148456573486
WHC,6.00015926361084
MAT,5.353691101074219
root_Otu0000050,5.327321529388428
Nitrogen,5.102609634399414
OC,4.737077713012695
Elevation,4.731658458709717
root_Otu0000007,4.663075923919678
leaf_Otu0000057,3.9774489402770996
plant_OTU179,3.867997407913208
longitude,3.7306556701660156
pH,3.7065348625183105
Calcium,3.190134048461914
plant_OTU27,3.1890041828155518
root_Otu0000102,3.1728432178497314
leaf_Otu0000014,2.8248484134674072
latitude,2.728019952774048
leaf_Otu0000013,2.6328930854797363
plant_OTU192,2.527252197265625
plant_OTU71,2.522963047027588
plant_OTU143,2.382493495941162
root_Otu0000024,2.366347074508667
PPT_sp,2.2729594707489014
leaf_Otu0000052,2.184889793395996
PPT_wt,2.1281135082244873
root_Otu0000114,2.033325672149658
Potassium,1.9695184230804443
root_Otu0000021,1.9673187732696533
leaf_Otu0000029,1.8085646629333496
leaf_Otu0000084,1.7083677053451538
leaf_Otu0000078,1.6867477893829346
leaf_Otu0000031,1.683664083480835
leaf_Otu0000246,1.6819124221801758
root_Otu0000003,1.6335389614105225
plant_OTU113,1.623725414276123
leaf_Otu0000152,1.579836368560791
MCMT,1.5700922012329102
leaf_Otu0000023,1.1782770156860352
plant_OTU83,1.1764163970947266
root_Otu0000058,1.1592481136322021
CN,1.1199498176574707
Phosphore,1.1147208213806152
plant_OTU159,1.0179014205932617
