feature,gain
leaf_Otu0000017,270.3468322753906
leaf_Otu0000006,142.11656188964844
Magnesium,100.53433990478516
leaf_Otu0000011,63.41203689575195
root_Otu0000006,41.487464904785156
leaf_Otu0000009,25.846288681030273
CN,12.740680694580078
leaf_Otu0000058,9.989404678344727
Elevation,8.072212219238281
Aluminium,6.6263580322265625
latitude,6.2133307456970215
leaf_Otu0000003,4.531375885009766
plant_OTU71,4.122133255004883
MAT,4.0024237632751465
PPT_wt,3.8120346069335938
longitude,2.0628466606140137
leaf_Otu0000016,2.02264404296875
Nitrogen,1.8603172302246094
leaf_Otu0000032,1.82135009765625
plant_OTU113,1.7950668334960938
WHC,1.7224884033203125
PPT_sm,1.5184818506240845
PPT_at,1.3971809148788452
leaf_Otu0000115,1.1484122276306152
