feature,gain
Nitrogen,18.974254608154297
plant_OTU1,17.418434143066406
plant_OTU198,16.121177673339844
leaf_Otu0000029,15.067546844482422
plant_OTU65,12.083581924438477
leaf_Otu0000179,10.047324180603027
Calcium,9.612178802490234
leaf_Otu0000001,9.077146530151367
leaf_Otu0000014,8.354372024536133
CN,7.53846549987793
plant_OTU10,7.094719409942627
plant_OTU179,7.0591630935668945
plant_OTU147,7.0504961013793945
plant_OTU202,5.599804401397705
root_Otu0000003,5.584071636199951
root_Otu0000258,5.435214519500732
leaf_Otu0000120,5.318689346313477
leaf_Otu0000022,5.246108531951904
root_Otu0000144,4.81266450881958
leaf_Otu0000052,4.422503471374512
root_Otu0000001,4.256396293640137
PPT_sp,4.172117710113525
longitude,3.820148229598999
latitude,3.5908384323120117
Iron,3.5874650478363037
plant_OTU192,3.049537181854248
Sodium,3.0053436756134033
root_Otu0000020,2.7777037620544434
leaf_Otu0000067,2.6767704486846924
plant_Shannon,2.379985809326172
MCMT,2.281224012374878
MAT,2.244122266769409
leaf_Otu0000018,2.22497820854187
leaf_Otu0000008,1.8783155679702759
PPT_sm,1.8200578689575195
plant_richness,1.6754543781280518
Elevation,1.62836492061615
plant_OTU204,1.4997315406799316
Potassium,1.3726844787597656
leaf_Otu0000030,1.3547307252883911
leaf_Otu0000012,1.0744903087615967
