feature,gain
plant_richness,23.09490394592285
plant_Shannon,20.04221534729004
root_Otu0000003,15.300504684448242
plant_OTU198,9.441398620605469
leaf_Otu0000070,8.179740905761719
leaf_Otu0000035,7.56491231918335
leaf_Otu0000006,7.433037757873535
Nitrogen,6.9940948486328125
PPT_sm,6.987717151641846
plant_OTU196,6.701889514923096
leaf_Otu0000101,6.471151828765869
leaf_Otu0000014,6.0117645263671875
WHC,5.94921350479126
OC,5.9028825759887695
Aluminium,5.860861778259277
SOM,5.639518737792969
root_Otu0000019,5.494513511657715
leaf_Otu0000010,5.469223976135254
root_Otu0000070,5.277019500732422
PPT_wt,4.718942165374756
MAT,4.659521102905273
Calcium,4.001042366027832
Elevation,3.9616427421569824
latitude,3.6919732093811035
plant_OTU145,3.0192127227783203
Manganese,2.8567469120025635
longitude,2.7588095664978027
pH,2.52431058883667
MCMT,2.1509580612182617
root_Otu0000174,1.9709193706512451
plant_OTU204,1.6540417671203613
Iron,1.0651041269302368
