feature,gain
leaf_Otu0000009,993.4578247070312
leaf_Otu0000028,572.8821411132812
leaf_Otu0000005,397.3100280761719
leaf_Otu0000017,348.9472961425781
Magnesium,308.619140625
leaf_Otu0000058,113.1786880493164
plant_OTU71,94.33295440673828
root_Otu0000076,59.568946838378906
PPT_sm,57.06703567504883
root_Otu0000989,44.2894401550293
MAT,41.16084671020508
plant_Shannon,41.014976501464844
plant_OTU196,40.79895782470703
leaf_Otu0000029,36.099205017089844
root_Otu0000005,31.13336181640625
leaf_Otu0000035,29.714271545410156
leaf_Otu0000016,29.590736389160156
plant_OTU198,28.984939575195312
plant_richness,18.69926643371582
MCMT,17.720857620239258
pH,14.7972412109375
leaf_Otu0000011,10.65980052947998
latitude,9.792269706726074
leaf_Otu0000100,6.043031692504883
plant_OTU179,4.402771472930908
root_Otu0000016,4.34457540512085
plant_OTU87,3.623912811279297
plant_OTU203,3.3765664100646973
plant_OTU27,2.313467025756836
PPT_at,2.3077006340026855
leaf_Otu0000084,2.158268928527832
WHC,1.8119319677352905
leaf_Otu0000023,1.786054253578186
plant_OTU136,1.761659026145935
leaf_Otu0000157,1.567764401435852
OC,1.5632816553115845
root_Otu0000009,1.562198519706726
leaf_Otu0000001,1.550827145576477
leaf_Otu0000067,1.549037218093872
plant_OTU3,1.5282952785491943
plant_OTU154,1.4865813255310059
Phosphore,1.4687566757202148
root_Otu0000001,1.4506334066390991
plant_OTU216,1.4221470355987549
root_Otu0000017,1.3530595302581787
Calcium,1.3306283950805664
Nitrogen,1.3148406744003296
plant_OTU1,1.2987762689590454
leaf_Otu0000137,1.2721954584121704
leaf_Otu0000120,1.2465708255767822
leaf_Otu0000074,1.228888750076294
plant_OTU113,1.2217450141906738
plant_OTU192,1.2060787677764893
Sodium,1.174723505973816
plant_OTU149,1.151631474494934
leaf_Otu0000044,1.1253864765167236
Manganese,1.0809606313705444
longitude,1.0713844299316406
leaf_Otu0000004,1.0160878896713257
