feature,gain
longitude,367.3478698730469
leaf_Otu0000002,284.7645568847656
leaf_Otu0000018,282.6806640625
PPT_sm,251.90135192871094
leaf_Otu0000246,239.81515502929688
leaf_Otu0000034,235.99977111816406
Sodium,229.2685089111328
pH,199.6581268310547
plant_OTU71,186.19227600097656
plant_richness,166.81272888183594
MAT,149.6950225830078
plant_OTU114,142.06582641601562
leaf_Otu0000093,140.16207885742188
leaf_Otu0000013,139.3356475830078
PPT_wt,119.99720764160156
leaf_Otu0000029,117.82621002197266
leaf_Otu0000012,107.8282241821289
leaf_Otu0000042,105.61299896240234
plant_OTU146,98.54585266113281
leaf_Otu0000115,93.77117919921875
root_Otu0000146,92.71061706542969
root_Otu0000019,86.9751968383789
plant_OTU113,86.712158203125
Phosphore,78.21177673339844
Manganese,77.89087677001953
leaf_Otu0000037,70.53060150146484
Nitrogen,67.17918395996094
leaf_Otu0000003,61.92040252685547
WHC,61.839622497558594
root_Otu0000021,57.724796295166016
plant_OTU223,50.58613967895508
leaf_Otu0000022,48.9669075012207
plant_OTU27,47.125484466552734
plant_OTU147,46.69525146484375
root_Otu0000041,44.59540939331055
root_Otu0000049,43.1055908203125
leaf_Otu0000001,34.45308303833008
root_Otu0000001,33.750003814697266
root_Otu0000122,30.938112258911133
leaf_Otu0000067,30.35385513305664
root_Otu0000156,28.175336837768555
root_Otu0000163,26.827003479003906
root_Otu0000050,22.75487518310547
Aluminium,22.641260147094727
MCMT,21.369293212890625
plant_OTU154,20.75820541381836
leaf_Otu0000057,20.06023597717285
Magnesium,18.89153480529785
Calcium,18.8409423828125
plant_OTU204,18.652904510498047
plant_OTU72,17.57992172241211
leaf_Otu0000365,17.402021408081055
CN,16.563623428344727
Elevation,16.23440170288086
latitude,16.17008399963379
Iron,14.739758491516113
plant_Shannon,13.686009407043457
leaf_Otu0000068,12.334872245788574
leaf_Otu0000035,11.393563270568848
Potassium,10.820640563964844
leaf_Otu0000036,10.516501426696777
OC,9.700037956237793
leaf_Otu0000120,9.54671859741211
plant_OTU179,9.000533103942871
leaf_Otu0000004,8.955973625183105
root_Otu0000064,7.342365264892578
root_Otu0000007,7.330593109130859
SOM,7.097694396972656
leaf_Otu0000033,6.963478088378906
plant_OTU198,6.33480978012085
leaf_Otu0000015,6.022561550140381
leaf_Otu0000009,4.859590530395508
leaf_Otu0000078,4.580619812011719
plant_OTU8,4.29010009765625
plant_OTU20,3.5913333892822266
root_Otu0000030,3.1760101318359375
plant_OTU10,1.93853759765625
