feature,gain
root_Otu0000049,98.08242797851562
PPT_wt,95.73807525634766
CN,87.6314926147461
leaf_Otu0000029,80.18502807617188
leaf_Otu0000032,66.42283630371094
root_Otu0000258,57.5103874206543
PPT_sp,47.92627716064453
leaf_Otu0000023,43.34381103515625
PPT_sm,42.41703414916992
latitude,36.23979568481445
longitude,19.294363021850586
WHC,19.014406204223633
MAT,18.709747314453125
Elevation,16.605484008789062
plant_OTU20,6.916646480560303
plant_OTU154,6.412100791931152
plant_OTU204,5.103870391845703
root_Otu0000064,4.333171844482422
leaf_Otu0000025,3.5626401901245117
leaf_Otu0000089,3.2803587913513184
root_Otu0000007,3.263094663619995
Aluminium,3.203225612640381
plant_OTU67,2.400984764099121
root_Otu0000122,2.225738525390625
leaf_Otu0000044,1.587803840637207
root_Otu0000020,1.2264304161071777
leaf_Otu0000011,1.196763038635254
