feature,gain
root_Otu0000021,170.1737060546875
plant_OTU15,126.92227935791016
root_Otu0000075,108.57096099853516
plant_OTU65,93.27640533447266
leaf_Otu0000001,85.27489471435547
plant_OTU216,79.26731872558594
root_Otu0000019,78.17208862304688
root_Otu0000070,77.43340301513672
root_Otu0000020,72.85356903076172
plant_OTU10,71.05599212646484
root_Otu0000174,63.03791046142578
leaf_Otu0000003,61.16130065917969
root_Otu0000004,60.55912780761719
Phosphore,45.102081298828125
Magnesium,44.276248931884766
leaf_Otu0000022,42.5295295715332
plant_OTU3,21.275527954101562
plant_OTU149,18.388423919677734
leaf_Otu0000109,18.021526336669922
plant_OTU113,16.078048706054688
plant_OTU159,15.347467422485352
leaf_Otu0000032,14.060806274414062
longitude,13.484021186828613
plant_OTU78,12.05439281463623
leaf_Otu0000096,11.855000495910645
Calcium,11.829427719116211
Aluminium,11.339301109313965
plant_OTU88,11.029361724853516
leaf_Otu0000012,10.765430450439453
leaf_Otu0000031,10.572708129882812
root_Otu0000258,10.157293319702148
PPT_at,6.550527095794678
PPT_wt,6.268704414367676
plant_OTU87,6.2530951499938965
plant_Shannon,4.834089756011963
plant_OTU7,4.833602428436279
leaf_Otu0000116,4.75114631652832
leaf_Otu0000009,4.131125450134277
leaf_Otu0000015,4.089677810668945
PPT_sp,3.7333312034606934
leaf_Otu0000006,3.6704928874969482
plant_OTU71,3.4741082191467285
plant_OTU179,3.309083938598633
leaf_Otu0000033,3.1477367877960205
leaf_Otu0000042,3.015444755554199
plant_OTU1,2.678163766860962
plant_OTU27,2.2056849002838135
Sodium,2.0320215225219727
MAT,1.8912456035614014
CN,1.8652734756469727
plant_OTU132,1.684030532836914
plant_OTU46,1.6712126731872559
plant_richness,1.6271815299987793
WHC,1.6160041093826294
leaf_Otu0000002,1.5677556991577148
leaf_Otu0000077,1.356283187866211
leaf_Otu0000057,1.3131015300750732
plant_OTU203,1.2772481441497803
leaf_Otu0000008,1.2589423656463623
root_Otu0000007,1.2515575885772705
root_Otu0000114,1.250913381576538
plant_OTU18,1.2213468551635742
Elevation,1.2128610610961914
leaf_Otu0000013,1.0518934726715088
