feature,gain
plant_OTU88,59.71733093261719
leaf_Otu0000025,38.540531158447266
leaf_Otu0000013,33.88450622558594
root_Otu0000114,31.10366439819336
plant_OTU1,27.65312957763672
leaf_Otu0000031,23.489089965820312
leaf_Otu0000032,23.24668312072754
leaf_Otu0000109,19.978504180908203
Elevation,16.98780632019043
CN,16.829219818115234
leaf_Otu0000057,16.79690170288086
plant_OTU113,16.742380142211914
Potassium,16.38666343688965
root_Otu0000284,14.052909851074219
root_Otu0000049,12.977954864501953
leaf_Otu0000152,12.752209663391113
OC,11.810694694519043
root_Otu0000122,11.363594055175781
Calcium,10.83520221710205
leaf_Otu0000033,10.206367492675781
Iron,9.972475051879883
leaf_Otu0000073,9.444257736206055
leaf_Otu0000070,9.037199974060059
plant_OTU132,8.953723907470703
PPT_sm,8.907280921936035
leaf_Otu0000042,8.42402172088623
leaf_Otu0000014,8.049883842468262
leaf_Otu0000077,8.033766746520996
latitude,7.857309341430664
root_Otu0000046,7.761886119842529
leaf_Otu0000002,7.681835651397705
WHC,7.62811803817749
leaf_Otu0000003,7.406729221343994
root_Otu0000003,7.197160243988037
pH,7.101792812347412
plant_OTU67,6.937844276428223
root_Otu0000021,6.883798122406006
plant_OTU27,6.854641914367676
MAT,6.846836090087891
leaf_Otu0000010,6.723142147064209
plant_OTU8,6.471127510070801
root_Otu0000163,5.203627586364746
MCMT,5.1444902420043945
Nitrogen,5.012172222137451
PPT_at,4.959420204162598
leaf_Otu0000004,4.370842933654785
root_Otu0000020,4.304993152618408
leaf_Otu0000008,3.9579570293426514
Sodium,3.931844711303711
Magnesium,3.925852060317993
longitude,3.914501428604126
leaf_Otu0000001,3.7690858840942383
root_Otu0000146,3.579153060913086
plant_OTU4,3.370992660522461
plant_Shannon,3.3562498092651367
leaf_Otu0000067,3.0974950790405273
root_Otu0000050,3.0019381046295166
leaf_Otu0000179,2.9383091926574707
leaf_Otu0000096,2.7898783683776855
leaf_Otu0000038,2.5756607055664062
root_Otu0000001,2.4084081649780273
leaf_Otu0000068,2.3303520679473877
root_Otu0000019,2.321432113647461
plant_OTU154,2.2544262409210205
root_Otu0000075,2.2537899017333984
PPT_sp,2.1772327423095703
root_Otu0000002,2.0311460494995117
Phosphore,2.021043539047241
leaf_Otu0000036,2.013057231903076
leaf_Otu0000029,1.985934853553772
plant_OTU149,1.749983787536621
root_Otu0000102,1.7321507930755615
Manganese,1.5627882480621338
leaf_Otu0000120,1.5560717582702637
root_Otu0000199,1.5452864170074463
plant_OTU65,1.516616702079773
leaf_Otu0000094,1.4968981742858887
leaf_Otu0000116,1.4483639001846313
plant_OTU15,1.3994814157485962
plant_richness,1.3323296308517456
plant_OTU20,1.3046770095825195
leaf_Otu0000018,1.297560691833496
root_Otu0000024,1.2951552867889404
plant_OTU145,1.258940577507019
plant_OTU49,1.1800825595855713
plant_OTU18,1.1113884449005127
PPT_wt,1.0511940717697144
plant_OTU179,1.009179711341858
