feature,gain
leaf_Otu0000027,37.331546783447266
Potassium,29.829620361328125
plant_Shannon,29.81053924560547
leaf_Otu0000115,25.519113540649414
leaf_Otu0000022,22.13771629333496
plant_OTU113,20.588924407958984
Iron,20.351333618164062
root_Otu0000004,20.22492027282715
plant_OTU216,19.885223388671875
leaf_Otu0000003,19.512332916259766
leaf_Otu0000066,17.08336639404297
Phosphore,15.188674926757812
Magnesium,14.180303573608398
leaf_Otu0000052,13.608987808227539
root_Otu0000156,13.446466445922852
leaf_Otu0000109,13.336221694946289
leaf_Otu0000010,12.190823554992676
CN,8.789826393127441
OC,8.264320373535156
root_Otu0000026,5.936108112335205
leaf_Otu0000152,5.325675964355469
root_Otu0000046,3.182976722717285
root_Otu0000007,3.054070234298706
WHC,2.038440465927124
plant_OTU7,1.9028680324554443
plant_OTU46,1.15641450881958
leaf_Otu0000002,1.1537504196166992
leaf_Otu0000044,1.0870485305786133
plant_OTU27,1.0366487503051758
