feature,gain
leaf_Otu0000025,10.72433853149414
root_Otu0000144,8.829249382019043
root_Otu0000021,7.045329570770264
Calcium,6.249109268188477
root_Otu0000102,4.488317966461182
leaf_Otu0000109,4.1923041343688965
Sodium,3.753694772720337
root_Otu0000019,3.5321097373962402
Phosphore,3.4945404529571533
leaf_Otu0000101,3.2828922271728516
Manganese,3.229947805404663
plant_OTU154,2.5587069988250732
Elevation,2.3953709602355957
leaf_Otu0000044,2.2603423595428467
leaf_Otu0000120,2.1893157958984375
longitude,2.166759967803955
leaf_Otu0000365,2.036317825317383
MAT,1.8419766426086426
leaf_Otu0000066,1.3989747762680054
leaf_Otu0000094,1.3712908029556274
root_Otu0000114,1.3655800819396973
plant_OTU8,1.3239258527755737
leaf_Otu0000010,1.3216450214385986
plant_OTU71,1.0594298839569092
PPT_sp,1.0390630960464478
