feature,gain
leaf_Otu0000022,35.61929702758789
leaf_Otu0000044,29.21962547302246
Potassium,20.638683319091797
root_Otu0000001,20.38864517211914
root_Otu0000258,20.34185028076172
plant_OTU154,20.332958221435547
Iron,18.071264266967773
root_Otu0000007,17.504566192626953
PPT_sm,17.097536087036133
MAT,16.631423950195312
leaf_Otu0000004,15.546318054199219
plant_OTU46,14.556806564331055
leaf_Otu0000010,13.630617141723633
CN,13.102127075195312
plant_richness,12.28106689453125
Nitrogen,10.519096374511719
leaf_Otu0000057,10.32631778717041
Elevation,10.251197814941406
Calcium,9.694296836853027
plant_OTU71,9.294260025024414
leaf_Otu0000042,8.304071426391602
pH,8.067323684692383
plant_Shannon,6.535558700561523
plant_OTU113,6.1173601150512695
latitude,6.002343654632568
leaf_Otu0000115,5.85066556930542
longitude,3.596917152404785
PPT_at,3.176517963409424
root_Otu0000005,2.645510673522949
PPT_wt,2.1991052627563477
leaf_Otu0000074,2.1673455238342285
leaf_Otu0000031,2.1661555767059326
leaf_Otu0000137,2.1516025066375732
leaf_Otu0000365,1.6304000616073608
root_Otu0000058,1.299130916595459
leaf_Otu0000023,1.2439661026000977
leaf_Otu0000078,1.0513160228729248
