feature,gain
longitude,15.315608024597168
root_Otu0000007,10.797712326049805
root_Otu0000163,10.565278053283691
plant_OTU18,10.52338981628418
leaf_Otu0000101,3.817291736602783
plant_OTU67,2.7499992847442627
WHC,2.22000789642334
leaf_Otu0000066,2.2174859046936035
leaf_Otu0000077,1.9953038692474365
root_Otu0000156,1.9065006971359253
plant_OTU216,1.8743259906768799
Iron,1.5156558752059937
Calcium,1.3184880018234253
MAT,1.2871124744415283
leaf_Otu0000004,1.1315311193466187
Aluminium,1.128372311592102
Magnesium,1.0789083242416382
