feature,gain
plant_OTU132,28.780719757080078
pH,27.763080596923828
plant_OTU198,23.58910369873047
root_Otu0000070,22.93280792236328
root_Otu0000024,18.741331100463867
leaf_Otu0000116,18.66425132751465
leaf_Otu0000157,18.488916397094727
Aluminium,18.36846160888672
Magnesium,17.608108520507812
Sodium,17.506845474243164
plant_OTU16,14.14470100402832
leaf_Otu0000010,10.310649871826172
plant_OTU71,8.423523902893066
root_Otu0000021,7.898525714874268
leaf_Otu0000042,3.9363675117492676
root_Otu0000258,3.552187919616699
Iron,3.415501356124878
leaf_Otu0000003,3.068711280822754
WHC,2.7646148204803467
root_Otu0000019,2.736083507537842
plant_richness,2.427497386932373
Calcium,2.350006341934204
root_Otu0000005,2.0916731357574463
plant_OTU15,2.0719194412231445
OC,2.0514473915100098
leaf_Otu0000008,2.0370376110076904
leaf_Otu0000044,1.7978577613830566
plant_OTU67,1.494537591934204
plant_OTU65,1.4733092784881592
plant_OTU3,1.4731316566467285
MAT,1.4366648197174072
plant_OTU7,1.4343162775039673
plant_OTU147,1.42917001247406
root_Otu0000102,1.2687323093414307
root_Otu0000156,1.2673473358154297
plant_OTU143,1.1730146408081055
