feature,gain
leaf_Otu0000038,95.40753173828125
root_Otu0000007,90.0016860961914
Aluminium,81.9075927734375
leaf_Otu0000012,62.56972122192383
leaf_Otu0000004,58.925933837890625
plant_OTU88,58.61831283569336
root_Otu0000020,54.40514373779297
longitude,51.12302780151367
plant_OTU202,46.604698181152344
Phosphore,41.684234619140625
Elevation,39.36553192138672
CN,37.2105598449707
plant_OTU179,35.61438751220703
leaf_Otu0000013,33.08226776123047
plant_OTU27,32.989349365234375
Magnesium,32.38140106201172
Calcium,32.044979095458984
leaf_Otu0000003,30.406301498413086
Manganese,30.262807846069336
plant_OTU216,30.221166610717773
plant_OTU78,27.387020111083984
root_Otu0000049,22.857038497924805
plant_OTU71,21.958932876586914
plant_OTU149,20.22198486328125
Sodium,19.948347091674805
latitude,18.527236938476562
root_Otu0000258,17.679031372070312
leaf_Otu0000029,17.61456298828125
plant_OTU72,16.235389709472656
MAT,15.013092041015625
root_Otu0000003,14.443438529968262
leaf_Otu0000014,13.254173278808594
leaf_Otu0000093,12.527695655822754
Nitrogen,11.723563194274902
plant_OTU46,11.242941856384277
leaf_Otu0000035,9.710423469543457
root_Otu0000050,9.237468719482422
root_Otu0000238,8.973875999450684
PPT_sp,8.636528968811035
plant_OTU100,8.35193920135498
leaf_Otu0000157,7.732457637786865
plant_OTU18,7.576616287231445
root_Otu0000114,7.479804515838623
pH,6.31117057800293
WHC,6.058430194854736
Iron,5.969376564025879
plant_richness,5.945564270019531
root_Otu0000019,5.94234561920166
PPT_at,5.59896183013916
plant_OTU154,5.447434902191162
plant_OTU114,5.411501884460449
plant_OTU159,5.339541435241699
plant_OTU146,5.117282867431641
leaf_Otu0000022,5.040696620941162
leaf_Otu0000137,4.830944538116455
plant_OTU7,4.536811828613281
leaf_Otu0000031,4.376152038574219
MCMT,4.279151439666748
plant_OTU113,4.202335834503174
PPT_sm,3.8950374126434326
plant_OTU132,3.797114849090576
root_Otu0000102,3.6561641693115234
Potassium,3.561187744140625
plant_OTU198,3.360508680343628
leaf_Otu0000025,3.0538363456726074
leaf_Otu0000001,2.921543836593628
leaf_Otu0000078,2.834451198577881
leaf_Otu0000044,2.694032907485962
plant_Shannon,2.6758334636688232
root_Otu0000146,2.561814785003662
leaf_Otu0000005,2.4181597232818604
leaf_Otu0000018,2.1505205631256104
root_Otu0000021,1.9466469287872314
OC,1.0318922996520996
