feature,gain
PPT_wt,568.453857421875
MCMT,348.55517578125
plant_OTU146,229.5783233642578
latitude,107.6138916015625
plant_OTU192,97.6502456665039
longitude,96.29082489013672
PPT_sp,95.1767807006836
root_Otu0000019,86.91848754882812
leaf_Otu0000089,70.00119018554688
Elevation,57.06159973144531
Potassium,42.6736946105957
leaf_Otu0000036,40.15301513671875
leaf_Otu0000004,35.86410140991211
leaf_Otu0000109,35.50128936767578
leaf_Otu0000003,31.16921615600586
root_Otu0000007,26.97907066345215
leaf_Otu0000012,26.728378295898438
CN,26.38217544555664
leaf_Otu0000117,26.06291389465332
root_Otu0000122,25.932538986206055
Phosphore,24.521366119384766
Nitrogen,21.550724029541016
plant_OTU100,20.360332489013672
leaf_Otu0000010,18.866125106811523
leaf_Otu0000008,17.589426040649414
leaf_Otu0000013,13.455423355102539
PPT_at,13.051946640014648
leaf_Otu0000073,10.035904884338379
WHC,9.902668952941895
MAT,9.85940170288086
leaf_Otu0000067,9.818819046020508
Manganese,9.684983253479004
Magnesium,9.651249885559082
pH,8.317432403564453
Iron,6.360501289367676
plant_OTU203,6.3510894775390625
Sodium,5.711844444274902
Calcium,5.370276927947998
root_Otu0000003,4.777538299560547
leaf_Otu0000002,2.3656110763549805
