feature,gain
leaf_Otu0000005,28.921924591064453
leaf_Otu0000006,18.165019989013672
leaf_Otu0000017,8.404590606689453
root_Otu0000005,7.90092658996582
PPT_sm,7.333368301391602
CN,7.015647888183594
Manganese,5.001497268676758
leaf_Otu0000100,4.9564313888549805
MAT,4.197085380554199
PPT_at,3.81610107421875
longitude,1.9222348928451538
root_Otu0000058,1.7329254150390625
Elevation,1.7129764556884766
WHC,1.4931457042694092
Nitrogen,1.4210299253463745
latitude,1.3980731964111328
PPT_sp,1.2694103717803955
root_Otu0000028,1.1108334064483643
plant_OTU154,1.1081786155700684
root_Otu0000017,1.1000946760177612
leaf_Otu0000068,1.0813485383987427
