feature,gain
leaf_Otu0000078,24.951446533203125
plant_OTU147,20.633615493774414
root_Otu0000049,17.67279624938965
leaf_Otu0000009,12.283268928527832
root_Otu0000019,12.1882905960083
leaf_Otu0000057,12.002961158752441
leaf_Otu0000023,11.987691879272461
leaf_Otu0000013,11.983750343322754
root_Otu0000001,10.938070297241211
root_Otu0000174,10.903589248657227
plant_OTU198,10.865242004394531
plant_OTU18,10.835494041442871
Magnesium,9.371475219726562
plant_OTU1,9.03553295135498
PPT_sp,8.71710205078125
Phosphore,8.53450870513916
leaf_Otu0000365,7.686183929443359
leaf_Otu0000101,7.64939022064209
plant_OTU132,7.288361072540283
leaf_Otu0000116,6.942542552947998
plant_OTU146,5.768824577331543
plant_OTU83,5.5453948974609375
leaf_Otu0000010,5.396203994750977
plant_OTU149,5.348227500915527
plant_OTU145,5.263538360595703
OC,4.917338848114014
plant_OTU113,4.5928192138671875
plant_OTU154,4.537263870239258
plant_OTU204,4.333828926086426
plant_OTU179,4.259589195251465
leaf_Otu0000120,4.1776323318481445
Aluminium,4.16736364364624
leaf_Otu0000074,4.035364627838135
plant_OTU4,3.8419570922851562
leaf_Otu0000031,3.539304256439209
Calcium,3.4494218826293945
plant_OTU27,3.4197802543640137
plant_Shannon,3.401319980621338
root_Otu0000041,3.387333869934082
PPT_sm,3.371016025543213
Nitrogen,3.2347211837768555
leaf_Otu0000246,2.7757911682128906
CN,2.7191028594970703
PPT_at,2.6203603744506836
leaf_Otu0000004,2.5646867752075195
Potassium,2.524001121520996
root_Otu0000003,2.4924538135528564
Elevation,2.4575107097625732
leaf_Otu0000036,2.4172821044921875
leaf_Otu0000152,2.3299882411956787
plant_OTU203,2.213622570037842
pH,2.159234046936035
MCMT,1.9089620113372803
Sodium,1.8194890022277832
root_Otu0000122,1.6178793907165527
leaf_Otu0000034,1.5503158569335938
leaf_Otu0000011,1.3763937950134277
leaf_Otu0000077,1.1371793746948242
leaf_Otu0000018,1.0942134857177734
