feature,gain
root_Otu0000020,49.49283981323242
leaf_Otu0000038,14.507345199584961
plant_OTU149,13.536802291870117
leaf_Otu0000015,11.328827857971191
leaf_Otu0000029,8.315820693969727
leaf_Otu0000003,6.762818813323975
plant_OTU27,6.550197601318359
root_Otu0000121,5.179576396942139
root_Otu0000238,5.0712785720825195
Potassium,5.038101673126221
leaf_Otu0000137,4.799615859985352
plant_OTU147,3.886908531188965
root_Otu0000024,3.328508138656616
root_Otu0000003,3.0391101837158203
latitude,2.8222415447235107
leaf_Otu0000004,2.798081159591675
Elevation,2.789885997772217
plant_OTU154,2.7597508430480957
plant_Shannon,2.648691177368164
Calcium,2.4896373748779297
leaf_Otu0000078,2.4009079933166504
root_Otu0000021,2.208968162536621
root_Otu0000019,2.1114680767059326
Sodium,2.087618112564087
Nitrogen,2.0619778633117676
root_Otu0000001,1.896924614906311
MAT,1.875826358795166
root_Otu0000258,1.864174723625183
MCMT,1.7604115009307861
PPT_wt,1.7222462892532349
leaf_Otu0000022,1.6450304985046387
PPT_sm,1.6424816846847534
root_Otu0000122,1.5866022109985352
plant_OTU202,1.5007624626159668
plant_OTU143,1.3142600059509277
plant_OTU198,1.2823487520217896
leaf_Otu0000117,1.1641261577606201
leaf_Otu0000010,1.128528356552124
leaf_Otu0000068,1.1209641695022583
leaf_Otu0000051,1.0723451375961304
