feature,gain
plant_OTU8,8.803354263305664
Sodium,6.453459739685059
leaf_Otu0000093,5.6804304122924805
leaf_Otu0000003,5.575119972229004
Aluminium,5.337589740753174
leaf_Otu0000018,5.090349197387695
Magnesium,4.895883083343506
leaf_Otu0000246,4.6999993324279785
MCMT,4.611484527587891
leaf_Otu0000068,4.198302745819092
PPT_sp,4.093644142150879
MAT,4.065821170806885
Elevation,4.058856010437012
plant_Shannon,3.9144399166107178
pH,3.897062063217163
plant_OTU71,3.739222288131714
Calcium,3.2839088439941406
PPT_wt,3.2685799598693848
leaf_Otu0000120,3.2210350036621094
leaf_Otu0000004,2.9210729598999023
root_Otu0000258,2.63118314743042
plant_OTU27,2.5735456943511963
leaf_Otu0000001,1.9615941047668457
root_Otu0000075,1.595130205154419
leaf_Otu0000029,1.491830825805664
latitude,1.3624238967895508
