feature,gain
plant_OTU113,2.993854522705078
leaf_Otu0000025,2.746861457824707
plant_OTU87,2.648122549057007
plant_OTU1,2.5219879150390625
MAT,2.51754093170166
leaf_Otu0000117,2.385472297668457
WHC,2.212224006652832
root_Otu0000001,2.2098050117492676
PPT_sm,2.203817129135132
leaf_Otu0000109,2.199680805206299
Sodium,1.995466709136963
OC,1.9319170713424683
Iron,1.8729232549667358
latitude,1.8163082599639893
leaf_Otu0000036,1.7713549137115479
leaf_Otu0000002,1.7670512199401855
plant_OTU15,1.750992774963379
plant_OTU159,1.6903990507125854
root_Otu0000007,1.6631639003753662
longitude,1.6505708694458008
Nitrogen,1.6234450340270996
leaf_Otu0000001,1.5721654891967773
plant_OTU67,1.5406241416931152
root_Otu0000156,1.5097572803497314
Potassium,1.4832863807678223
Calcium,1.4499132633209229
leaf_Otu0000032,1.4138973951339722
plant_OTU216,1.4114046096801758
leaf_Otu0000073,1.372853398323059
plant_OTU198,1.367405891418457
plant_OTU143,1.3600722551345825
Magnesium,1.3346418142318726
PPT_at,1.3123282194137573
leaf_Otu0000008,1.2928242683410645
Elevation,1.2722266912460327
Manganese,1.2525601387023926
leaf_Otu0000003,1.209130048751831
root_Otu0000046,1.1991662979125977
leaf_Otu0000077,1.1977144479751587
root_Otu0000064,1.1507062911987305
plant_OTU100,1.0747721195220947
plant_OTU3,1.0635826587677002
leaf_Otu0000066,1.0591708421707153
leaf_Otu0000018,1.0121033191680908
