feature,gain
root_Otu0000174,234.3040313720703
plant_OTU136,225.3872833251953
plant_OTU10,224.3108673095703
root_Otu0000070,222.24708557128906
Manganese,179.413818359375
plant_OTU3,167.6618194580078
root_Otu0000001,6.222574710845947
root_Otu0000049,6.059538841247559
plant_OTU71,5.219387054443359
MAT,5.193996429443359
plant_OTU1,5.127295970916748
leaf_Otu0000001,5.07321834564209
plant_OTU202,4.902729511260986
leaf_Otu0000033,4.714296340942383
plant_OTU100,4.506463050842285
plant_OTU65,4.4010186195373535
plant_OTU46,4.305632591247559
leaf_Otu0000013,4.026730060577393
CN,4.018298149108887
plant_OTU143,3.933441638946533
PPT_wt,3.897355794906616
latitude,3.269854784011841
WHC,3.1031582355499268
plant_OTU87,3.01324462890625
root_Otu0000121,2.898754119873047
leaf_Otu0000003,2.05022931098938
root_Otu0000050,1.4592653512954712
Calcium,1.4270890951156616
leaf_Otu0000023,1.3870105743408203
root_Otu0000041,1.3644018173217773
leaf_Otu0000004,1.2668009996414185
