feature,gain
plant_Shannon,29.9846134185791
leaf_Otu0000012,13.66668701171875
longitude,10.974421501159668
latitude,8.58668327331543
plant_OTU72,3.911318302154541
Iron,3.6657650470733643
leaf_Otu0000037,2.8033828735351562
leaf_Otu0000035,2.5790534019470215
plant_OTU20,2.4422597885131836
MAT,1.9215388298034668
pH,1.9184571504592896
Phosphore,1.905285358428955
leaf_Otu0000365,1.8828599452972412
root_Otu0000258,1.8662570714950562
leaf_Otu0000066,1.835578203201294
Calcium,1.6735424995422363
MCMT,1.6326292753219604
leaf_Otu0000008,1.5852560997009277
leaf_Otu0000036,1.5723336935043335
WHC,1.55226731300354
root_Otu0000050,1.5459213256835938
leaf_Otu0000003,1.5215187072753906
Nitrogen,1.4735437631607056
root_Otu0000003,1.4733850955963135
root_Otu0000122,1.454008936882019
leaf_Otu0000004,1.4318008422851562
PPT_sp,1.233974575996399
Sodium,1.2280218601226807
PPT_sm,1.2266045808792114
leaf_Otu0000109,1.1847246885299683
leaf_Otu0000094,1.1385624408721924
leaf_Otu0000014,1.1300325393676758
Aluminium,1.0919289588928223
leaf_Otu0000025,1.013127088546753
root_Otu0000075,1.0024394989013672
