target,dropped_pair,rmse_full_test,rmse_top20_test,test_std,top20_feats,model_full_path,model_top20_path,best_params
leaf_Otu0000013,,0.748163154410747,0.8396247637543434,0.8644287505896661,root_Otu0000020;leaf_Otu0000038;plant_OTU149;leaf_Otu0000015;leaf_Otu0000029;leaf_Otu0000003;plant_OTU27;root_Otu0000121;root_Otu0000238;Potassium;leaf_Otu0000137;plant_OTU147;root_Otu0000024;root_Otu0000003;latitude;leaf_Otu0000004;Elevation;plant_OTU154;plant_Shannon;Calcium,models2/full/xgb_full_leaf_Otu0000013.model,models2/top20/xgb_top20_leaf_Otu0000013.model,"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'reg_alpha': 1.0, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.9}"
leaf_Otu0000014,,2.276726422786637,2.4613225902296114,2.4033016803223695,leaf_Otu0000078;plant_OTU147;root_Otu0000049;leaf_Otu0000009;root_Otu0000019;leaf_Otu0000057;leaf_Otu0000023;leaf_Otu0000013;root_Otu0000001;root_Otu0000174;plant_OTU198;plant_OTU18;Magnesium;plant_OTU1;PPT_sp;Phosphore;leaf_Otu0000365;leaf_Otu0000101;plant_OTU132;leaf_Otu0000116,models2/full/xgb_full_leaf_Otu0000014.model,models2/top20/xgb_top20_leaf_Otu0000014.model,"{'colsample_bytree': 0.9, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'seed': 42, 'subsample': 0.8}"
leaf_Otu0000015,,1.7611504205043402,1.7869865200359691,2.1086652880443193,leaf_Otu0000038;root_Otu0000007;Aluminium;leaf_Otu0000012;leaf_Otu0000004;plant_OTU88;root_Otu0000020;longitude;plant_OTU202;Phosphore;Elevation;CN;plant_OTU179;leaf_Otu0000013;plant_OTU27;Magnesium;Calcium;leaf_Otu0000003;Manganese;plant_OTU216,models2/full/xgb_full_leaf_Otu0000015.model,models2/top20/xgb_top20_leaf_Otu0000015.model,"{'colsample_bytree': 0.9, 'gamma': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'seed': 42, 'subsample': 0.9}"
leaf_Otu0000016,root_Otu0000016,0.7053117507448718,0.6898023355230894,4.247468247960303,leaf_Otu0000011;leaf_Otu0000051;leaf_Otu0000063;plant_OTU46;root_Otu0000051;root_Otu0000100;root_Otu0000011;plant_OTU1;plant_OTU109;plant_OTU71;plant_OTU65;plant_OTU149;leaf_Otu0000004;root_Otu0000003;root_Otu0000020;plant_OTU27;plant_OTU198;WHC;root_Otu0000049;leaf_Otu0000179,models2/full/xgb_full_leaf_Otu0000016.model,models2/top20/xgb_top20_leaf_Otu0000016.model,"{'colsample_bytree': 0.9, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000017,root_Otu0000017,0.5460305440955417,0.5836349341506148,1.4209408632189564,leaf_Otu0000006;leaf_Otu0000005;root_Otu0000028;leaf_Otu0000009;leaf_Otu0000016;MAT;longitude;root_Otu0000005;leaf_Otu0000001;PPT_sm;latitude,models2/full/xgb_full_leaf_Otu0000017.model,models2/top20/xgb_top20_leaf_Otu0000017.model,"{'colsample_bytree': 0.7, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.8}"
leaf_Otu0000018,,1.662932060582456,1.729233970060576,1.7667250455305876,plant_OTU204;latitude;root_Otu0000049;plant_OTU16;root_Otu0000001;Elevation;root_Otu0000003;leaf_Otu0000084;Sodium;leaf_Otu0000013;leaf_Otu0000004;WHC;Potassium;plant_richness;leaf_Otu0000032;pH;root_Otu0000009;OC;Phosphore;root_Otu0000258,models2/full/xgb_full_leaf_Otu0000018.model,models2/top20/xgb_top20_leaf_Otu0000018.model,"{'colsample_bytree': 0.9, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000022,,2.524391099365989,2.5856274428463597,2.6120732621638436,plant_OTU216;Sodium;pH;WHC;leaf_Otu0000012;longitude;plant_richness;root_Otu0000026;root_Otu0000258;Potassium;leaf_Otu0000015;leaf_Otu0000042;leaf_Otu0000010;root_Otu0000007;PPT_at;Iron;plant_OTU147;leaf_Otu0000070;plant_OTU78;Calcium,models2/full/xgb_full_leaf_Otu0000022.model,models2/top20/xgb_top20_leaf_Otu0000022.model,"{'colsample_bytree': 0.9, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'reg_alpha': 0.5, 'reg_lambda': 2.0, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000023,,0.07517664431084514,0.09458616664795687,0.0,leaf_Otu0000078;leaf_Otu0000014;root_Otu0000058;longitude;latitude;SOM;OC;root_Otu0000146;Sodium;root_Otu0000005;plant_OTU154;Phosphore;MAT;leaf_Otu0000365;plant_OTU113;root_Otu0000006;Iron,models2/full/xgb_full_leaf_Otu0000023.model,models2/top20/xgb_top20_leaf_Otu0000023.model,"{'colsample_bytree': 0.9, 'gamma': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.9}"
leaf_Otu0000025,,1.3351124767391191,1.3843103218777904,1.4886642612203076,root_Otu0000004;root_Otu0000284;plant_OTU159;leaf_Otu0000109;Potassium;PPT_sp;Elevation;leaf_Otu0000077;plant_OTU202;plant_OTU46;plant_OTU113;root_Otu0000003;root_Otu0000007;plant_OTU7;plant_OTU88;leaf_Otu0000067;Phosphore;root_Otu0000001;PPT_sm;Nitrogen,models2/full/xgb_full_leaf_Otu0000025.model,models2/top20/xgb_top20_leaf_Otu0000025.model,"{'colsample_bytree': 0.9, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'reg_alpha': 1.0, 'reg_lambda': 2.0, 'seed': 42, 'subsample': 0.8}"
leaf_Otu0000027,,1.3476916152055487,1.3415052438986028,1.3300464574789055,leaf_Otu0000042;Sodium;plant_OTU136;Iron;Nitrogen;plant_OTU1;leaf_Otu0000022;leaf_Otu0000004;WHC;MAT;plant_OTU154;root_Otu0000156;leaf_Otu0000365;root_Otu0000258,models2/full/xgb_full_leaf_Otu0000027.model,models2/top20/xgb_top20_leaf_Otu0000027.model,"{'colsample_bytree': 0.7, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'reg_alpha': 1.0, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.9}"
